,As_of_Year,Respondent_Name_CR,State,Count,Sum,Median,Percentage,colors
138,2012,WELLS FARGO BANK NA,WV,1619,279547,159.0,0.15734287775922876,#0C0786
139,2013,1ST MARINER BANK,DC,260,103243,390.0,0.02298653777005447,#EA7455
140,2013,1ST MARINER BANK,DE,107,21844,180.0,0.01012082065566646,#EA7455
141,2013,1ST MARINER BANK,MD,3287,919907,260.0,0.03614945207019566,#EA7455
142,2013,1ST MARINER BANK,VA,605,218634,331.0,0.006828342672278904,#EA7455
143,2013,1ST MARINER BANK,WV,45,8399,193.0,0.005004131879340782,#EA7455
144,2013,ATLANTIC BAY MORTGAGE GRP LLC,MD,8,2573,254.5,0.00010111080813235841,#FBA337
145,2013,ATLANTIC BAY MORTGAGE GRP LLC,VA,4287,800990,170.0,0.025016393594174187,#FBA337
146,2013,ATLANTIC BAY MORTGAGE GRP LLC,WV,18,1825,92.0,0.0010873366686268517,#FBA337
147,2013,ATLANTIC COAST MORTGAGE LLC,DC,121,47080,370.0,0.010482126615985243,#F5E926
148,2013,ATLANTIC COAST MORTGAGE LLC,MD,196,76194,356.5,0.0029941845763066135,#F5E926
149,2013,ATLANTIC COAST MORTGAGE LLC,VA,1356,527182,373.0,0.016464865238971692,#F5E926
150,2013,BANK OF AMERICA NA,DC,1075,385295,278.0,0.08578400540582061,#5101A2
151,2013,BANK OF AMERICA NA,DE,1123,215546,178.0,0.0998673507162737,#5101A2
152,2013,BANK OF AMERICA NA,MD,7432,1848059,210.0,0.07262290671056283,#5101A2
153,2013,BANK OF AMERICA NA,VA,5908,1131975,166.0,0.03535366501300306,#5101A2
154,2013,BANK OF AMERICA NA,WV,456,70464,136.0,0.04198251562636848,#5101A2
155,2013,BRANCH BANKING AND TRUST CO,DC,344,137495,326.5,0.030612574321684176,#6C00A8
156,2013,BRANCH BANKING AND TRUST CO,DE,61,14045,182.0,0.006507367062297905,#6C00A8
157,2013,BRANCH BANKING AND TRUST CO,MD,3780,908262,195.0,0.035691840192736926,#6C00A8
158,2013,BRANCH BANKING AND TRUST CO,VA,7132,1149331,134.0,0.035895724872951985,#6C00A8
159,2013,BRANCH BANKING AND TRUST CO,WV,2918,361456,104.0,0.21535581528503414,#6C00A8
160,2013,CITIBANK NA,DC,521,227043,263.0,0.050549988812088734,#A92395
161,2013,CITIBANK NA,DE,900,146430,145.0,0.06784434025861745,#A92395
162,2013,CITIBANK NA,MD,4399,937276,172.0,0.03683199914615793,#A92395
163,2013,CITIBANK NA,VA,2772,393869,121.0,0.012301254608102214,#A92395
164,2013,CITIBANK NA,WV,573,56570,82.0,0.03370445772286082,#A92395
165,2013,EMBRACE HOME LOANS INC,DC,143,55897,380.0,0.01244518758397891,#CE4A75
166,2013,EMBRACE HOME LOANS INC,DE,403,89150,212.0,0.041305217059726465,#CE4A75
167,2013,EMBRACE HOME LOANS INC,MD,2214,650920,270.0,0.025579108911587538,#CE4A75
168,2013,EMBRACE HOME LOANS INC,VA,1896,476120,206.0,0.014870104892767967,#CE4A75
169,2013,EMBRACE HOME LOANS INC,WV,155,18105,102.0,0.010786975553692684,#CE4A75
170,2013,FIFTH THIRD MORTGAGE COMPANY,DE,141,35135,236.0,0.01627884241607952,#D6556D
171,2013,FIFTH THIRD MORTGAGE COMPANY,MD,1187,412194,327.0,0.016197927884690766,#D6556D
172,2013,FIFTH THIRD MORTGAGE COMPANY,VA,3440,1144459,307.0,0.03574356333586561,#D6556D
173,2013,FIFTH THIRD MORTGAGE COMPANY,WV,612,105681,156.0,0.06296483642583797,#D6556D
174,2013,FIRST HERITAGE MORTGAGE,DC,59,23953,412.0,0.005333015693132849,#FDBC2A
175,2013,FIRST HERITAGE MORTGAGE,MD,435,161518,344.0,0.006347149439534499,#FDBC2A
176,2013,FIRST HERITAGE MORTGAGE,VA,1374,557003,390.0,0.017396230016773997,#FDBC2A
177,2013,FIRST HOME MORTGAGE,DC,507,207759,396.0,0.046256502625541165,#7901A8
178,2013,FIRST HOME MORTGAGE,DE,26,5339,194.5,0.0024736797967681388,#7901A8
179,2013,FIRST HOME MORTGAGE,MD,5319,1419697,245.0,0.05578962727286624,#7901A8
180,2013,FIRST HOME MORTGAGE,VA,2093,792035,366.0,0.024736712443802985,#7901A8
181,2013,FIRST HOME MORTGAGE,WV,63,13701,236.0,0.008163068327044654,#7901A8
182,2013,FIRST SAVINGS MORTGAGE CORPORA,DC,988,483981,417.0,0.10775594990932783,#9310A1
183,2013,FIRST SAVINGS MORTGAGE CORPORA,DE,4,888,206.5,0.00041143054121185757,#9310A1
184,2013,FIRST SAVINGS MORTGAGE CORPORA,MD,991,431397,400.0,0.016952545392877973,#9310A1
